#Gene	MedianCount	StDev	SinglesRatio	Ubiquity	Salinispora_tropica_CNB_440
Cpn10	2.0000	0.0000	0.0000	1.0000	2.0
GrpE	1.0000	0.0000	1.0000	1.0000	1.0
Methyltransf_5	1.0000	0.0000	1.0000	1.0000	1.0
PGK	1.0000	0.0000	1.0000	1.0000	1.0
Ribosomal_L10	1.0000	0.0000	1.0000	1.0000	1.0
Ribosomal_L23	1.0000	0.0000	1.0000	1.0000	1.0
Ribosomal_S14	2.0000	0.0000	0.0000	1.0000	2.0
Ribosomal_S8	1.0000	0.0000	1.0000	1.0000	1.0
Ribosomal_S9	1.0000	0.0000	1.0000	1.0000	1.0
SHMT	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00069	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00171	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01245	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01808	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03188	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00033	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00110	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00120	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00653	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00674	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01356	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01900	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01513	2.0000	0.0000	0.0000	1.0000	2.0
TIGR00151	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00018	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00078	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00109	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00114	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00152	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00187	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00190	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00222	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00223	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00243	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00380	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00525	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00550	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00612	1.0000	0.0000	1.0000	1.0000	1.0
TIGR00708	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01379	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01496	2.0000	0.0000	0.0000	1.0000	2.0
TIGR01498	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01819	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01980	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01981	1.0000	0.0000	1.0000	1.0000	1.0
TIGR01994	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03160	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03438	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03442	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03447	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03552	1.0000	0.0000	1.0000	1.0000	1.0
TIGR03701	1.0000	0.0000	1.0000	1.0000	1.0
